Id:System.Int32	AvgGrade:System.Int32	ClassName:System.String
1	5.50	"ClassA"
2	4.50	"ClassB"
3	3.50	"ClassC"
4	3.50	"ClassA"
5	4.50	"ClassA"
6	4.50	"ClassB"
7	6.00	"ClassB"
8	5.00	"ClassC"
9	3.00	"ClassC"
10	2.00	"ClassC"
11	3.50	"ClassA"
12	4.40	"ClassB"
13	3.60	"ClassB"
14	6.00	"ClassC"
15	2.99	"ClassB"
16	4.49	"ClassB"
17	3.49	"ClassB"
18	5.50	"ClassA"
19	4.48	"ClassB"
20	5.49	"ClassB"
21	5.60	"ClassC"
22	5.50	"ClassC"
23	4.50	"ClassA"
24	4.60	"ClassC"
25	6.00	"ClassC"
26	3.30	"ClassB"
27	5.60	"ClassB"
28	5.40	"ClassB"
29	3.70	"ClassA"
30	4.30	"ClassC"
31	6.00	"ClassA"
